district_name_en,district_name_ar,city_name_en,city_name_ar,province_name_en,province_name_ar
Al Muruj Dist.,حي المروج,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Oud Dist.,حي العود,Riyadh,الرياض,Riyadh,منطقة الرياض
Thulaim Dist.,حي ثليم,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Shumaisi Dist.,حي الشميسي,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Wisham Dist.,حي الوشام,Riyadh,الرياض,Riyadh,منطقة الرياض
Salam Park,منتزه سلام,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Dubiyah Dist.,حي الدوبية,Riyadh,الرياض,Riyadh,منطقة الرياض
Meakal Dist.,حي معكال,Riyadh,الرياض,Riyadh,منطقة الرياض
Jabrah Dist.,حي جبرة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Qura Dist.,حي القرى,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Marqab Dist.,حي المرقب,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Futah Dist.,حي الفوطة,Riyadh,الرياض,Riyadh,منطقة الرياض
Umm Saleem Dist.,حي ام سليم,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Sahafah Dist.,حي الصحافة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Raed Dist.,حي الرائد,Riyadh,الرياض,Riyadh,منطقة الرياض
West Oraija Dist.,حي العريجاء الغربي,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Uraija Dist.,حي العريجاء,Riyadh,الرياض,Riyadh,منطقة الرياض
Middle Oraija Dist.,حي العريجاء الوسطى,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Hamra Dist.,حي الحمراء,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Dar Al Baida Dist.,حي الدار البيضاء,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Butaiha Dist.,حي البطيحا,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Zahra Dist.,حي الزهراء,Riyadh,الرياض,Riyadh,منطقة الرياض
